event_id,sta_lat,sta_lon,mmi,pga,pgv,psa03,psa10,psa30,r_hypo,hypo_lat,hypo_lon,magnitude,hypo_depth,n_dyfi,vs30,inst_to_mmi_dist,std_mmi_boot,mean_mmi_boot,std_pga_at_dyfi,std_pgv_at_dyfi,std_psa03_at_dyfi,std_psa10_at_dyfi,std_psa30_at_dyfi,mmi_from_pgv,mmi_res_pgv,mmi_from_pga,mmi_res_pga,mmi_from_psa03,mmi_res_psa03,mmi_from_psa10,mmi_res_psa10,mmi_from_psa30,mmi_res_psa30,CA Vs30
9613261,34.282,-118.47923999999999,3.954040889,135.973467,2.7163,50.380236,4.037796,0.450279,10.99553917,34.289,-118.40299999999999,4.05,8.44,11,460.0,1.675610566,0.3094115318,3.932016571,0.1262531396,0.11751063640000001,0.1605678496,0.1348393938,0.09368281222000001,4.417947268437728,-0.46390637943772806,6.294329260986363,-2.3402883719863627,4.137070414632697,-0.1830295256326968,3.415501984962266,0.538538904037734,3.404747128922271,0.5492937600777288,321.32343
9613261,34.3087,-118.5026,4.593639298,20.202714,0.45,16.64757,2.714427,0.103986,12.63880844,34.289,-118.40299999999999,4.05,8.44,1,307.0,0.3416187569,0.0,4.593639298,0.10144346539999999,0.09101649697999999,0.1358522982,0.10443828460000001,0.056115472740000005,3.270222395249755,1.3234169027502451,3.8036149737620146,0.7900243242379856,3.3243336167355144,1.2693056812644858,3.1550780124686066,1.4385612855313936,2.660034149203457,1.933605148796543,339.24902
9613261,34.19551,-118.3534,2.6412269090000002,14.582564999999999,0.836,34.518446999999995,2.843919,0.339426,14.14529751,34.289,-118.40299999999999,4.05,8.44,12,328.0,1.3864717309999999,0.24592561,2.718251931,0.12302437179999999,0.11400861050000001,0.1574233068,0.1308209401,0.08824950422,3.665643227835354,-1.0244163188353537,3.584172491721557,-0.9429455827215567,3.8595572905160926,-1.2183303815160924,3.1856389873518154,-0.5444120783518152,3.261145322431224,-0.6199184134312237,297.53003
9613261,34.416,-118.449,3.132186263,9.225324,0.2328,11.382543,2.742876,0.138321,16.98498731,34.289,-118.40299999999999,4.05,8.44,15,321.0,0.88710964,0.3634587343,3.1701622510000003,0.1157148409,0.1061379175,0.1502290822,0.12178959199999999,0.07652691587,2.8494649746874408,0.28272128831255916,3.2759514374350722,-0.1437651744350723,3.0452950971110453,0.08689116588895462,3.161915304446971,-0.029729041446971305,2.80501264865047,0.3271736143495301,286.03976
9613261,34.22869,-118.55828999999999,3.438417353,18.21717,0.6485,39.299841,2.811546,0.24034499999999998,17.88532616,34.289,-118.40299999999999,4.05,8.44,6,285.0,1.557087387,0.5049943675999999,3.290085299,0.12499340910000001,0.1161424866,0.1593433276,0.1332694892,0.09154505365,3.503507671217545,-0.06509031821754485,3.733975326529734,-0.2955579735297338,3.954771121427913,-0.5163537684279129,3.1781312231183705,0.2602861298816297,3.0857506055501784,0.35266674744982174,292.94907
9613261,34.1058,-118.4538,3.0915846730000003,4.285008,0.1858,7.809741000000001,1.037898,0.083385,22.53965054,34.289,-118.40299999999999,4.05,8.44,1,677.0,1.099137959,0.0,3.0915846730000003,0.119170657,0.10984891990000001,0.1536437477,0.12604783890000001,0.08196662228,2.7054971931967056,0.3860874798032947,2.759754951762929,0.33182972123707133,2.7688065876419623,0.322778085358038,2.5246175403915116,0.5669671326084886,2.5478464299293977,0.5437382430706026,583.12616
9613261,34.1192,-118.3004,2.6769748719999997,11.557161,0.2654,19.622943,1.741275,0.11281500000000001,22.73209215,34.289,-118.40299999999999,4.05,8.44,6,682.0,1.661941452,0.3488498575,2.850795582,0.1261119013,0.1173571283,0.1604307067,0.1346632486,0.09344200744999999,2.933134350236773,-0.2561594782367731,3.4276492175176996,-0.7506743455176998,3.4450220812857344,-0.7680472092857347,2.8639337018263493,-0.1869588298263496,2.7014427600574007,-0.024467888057400966,577.4633
9613261,34.1183,-118.2994,2.590539708,11.961333,0.2788,21.135645,1.808964,0.11281500000000001,22.85348732,34.289,-118.40299999999999,4.05,8.44,6,839.0,1.5855016080000002,0.3528675469,2.671789485,0.1253028518,0.1164783489,0.1596443977,0.1336548796,0.09206807674,2.9645803710561784,-0.37404066305617834,3.4507882651251194,-0.8602485571251193,3.499526885555855,-0.9089871775558547,2.8889431664093608,-0.29840345840936067,2.7014427600574007,-0.11090305205740059,881.5123
9613261,34.07618,-118.3959,2.891030176,4.909905,0.1838,5.879133,1.8903869999999998,0.123606,25.13302417,34.289,-118.40299999999999,4.05,8.44,22,285.0,1.4962605469999999,0.1681158841,2.851697487,0.1243140506,0.1154056144,0.1586817157,0.13242395380000002,0.09040163832999999,2.6985878953636355,0.1924422806363646,2.851393202546847,0.03963697345315298,2.5603901325257015,0.33064004347429865,2.917815571295503,-0.026785395295502834,2.747859824631224,0.14317035136877632,351.37506
9613261,34.15573,-118.64093000000001,3.4779808919999997,7.753824000000001,0.2132,11.283462,1.360647,0.089271,27.73789598,34.289,-118.40299999999999,4.05,8.44,6,306.0,1.570309933,0.1695152475,3.407139103,0.1251380161,0.1162994225,0.1594840444,0.1334495678,0.09178929864,2.793317184521166,0.6846637074788338,3.15897961968141,0.31900127231858955,3.0388782871309257,0.43910260486907404,2.7021796383864287,0.775801253613571,2.582504715859355,0.8954761761406447,476.65723
